a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = 98657.929475; b = 3255255.135461; cout = 7822167820820.671875
a = 98659.361658; b = 3265119.645610; cout = 7821027309116.413086
a = 98660.793841; b = 3274984.155760; cout = 7820082152454.475586
a = 98662.226024; b = 3284848.665909; cout = 7819332350834.853516
a = 98663.658207; b = 3294713.176059; cout = 7818777904257.549805
a = 98665.090390; b = 3304577.686208; cout = 7818418812722.563477
a = 98666.522573; b = 3314442.196357; cout = 7818255076229.893555
a = 98667.954756; b = 3324306.706507; cout = 7818286694779.541992
a = 98669.386939; b = 3334171.216656; cout = 7818513668371.508789
a = 98670.819122; b = 3344035.726805; cout = 7818935997005.792969
a = 98672.251305; b = 3353900.236955; cout = 7819553680682.395508
a = 98673.683488; b = 3363764.747104; cout = 7820366719401.317383
a = 98675.115671; b = 3373629.257254; cout = 7821375113162.557617
a = 98676.547854; b = 3383493.767403; cout = 7822578861966.115234
a = 98677.980037; b = 3393358.277552; cout = 7823977965811.990234
a = 98679.412220; b = 3403222.787702; cout = 7825572424700.180664
a = 98680.844403; b = 3413087.297851; cout = 7827362238630.691406
a = 98682.276586; b = 3422951.808000; cout = 7829347407603.519531
a = 98683.708769; b = 3432816.318150; cout = 7831527931618.666992
a = 98685.140952; b = 3442680.828299; cout = 7833903810676.130859
a = 98686.573135; b = 3452545.338449; cout = 7836475044775.911133
a = 98688.005318; b = 3462409.848598; cout = 7839241633918.012695
a = 98689.437501; b = 3472274.358747; cout = 7842203578102.432617
a = 98690.869684; b = 3482138.868897; cout = 7845360877329.166992
a = 98692.301867; b = 3492003.379046; cout = 7848713531598.219727
a = 98693.734050; b = 3501867.889195; cout = 7852261540909.592773
a = 98695.166233; b = 3511732.399345; cout = 7856004905263.283203
a = 98696.598416; b = 3521596.909494; cout = 7859943624659.291016
a = 98698.030599; b = 3531461.419644; cout = 7864077699097.616211
a = 98699.462782; b = 3541325.929793; cout = 7868407128578.260742
a = 98700.894965; b = 3551190.439942; cout = 7872931913101.220703
a = 98702.327148; b = 3561054.950092; cout = 7877652052666.498047
a = 98703.759331; b = 3570919.460241; cout = 7882567547274.097656
a = 98705.191514; b = 3580783.970390; cout = 7887678396924.010742
a = 98706.623697; b = 3590648.480540; cout = 7892984601616.246094
a = 98708.055880; b = 3600512.990689; cout = 7898486161350.794922
a = 98709.488063; b = 3610377.500838; cout = 7904183076127.665039
a = 98710.920246; b = 3620242.010988; cout = 7910075345946.850586
a = 98712.352429; b = 3630106.521137; cout = 7916162970808.358398
a = 98713.784612; b = 3639971.031287; cout = 7922445950712.180664
a = 98715.216795; b = 3649835.541436; cout = 7928924285658.318359
a = 98716.648978; b = 3659700.051585; cout = 7935597975646.780273
a = 98718.081161; b = 3669564.561735; cout = 7942467020677.552734
a = 98719.513344; b = 3679429.071884; cout = 7949531420750.647461
a = 98720.945526; b = 3689293.582033; cout = 7956791175866.062500
a = 98722.377709; b = 3699158.092183; cout = 7964246286023.788086
a = 98723.809892; b = 3709022.602332; cout = 7971896751223.839844
a = 98725.242075; b = 3718887.112482; cout = 7979742571466.206055
a = 98726.674258; b = 3728751.622631; cout = 7987783746750.890625
a = 98728.106441; b = 3738616.132780; cout = 7996020277077.889648
a = 98729.538624; b = 3748480.642930; cout = 8004452162447.212891
a = 98730.970807; b = 3758345.153079; cout = 8013079402858.844727
a = 98732.402990; b = 3768209.663228; cout = 8021901998312.806641
a = 98733.835173; b = 3778074.173378; cout = 8030919948809.077148
a = 98735.267356; b = 3787938.683527; cout = 8040133254347.669922
a = 98736.699539; b = 3797803.193677; cout = 8049541914928.581055
a = 98738.131722; b = 3807667.703826; cout = 8059145930551.806641
a = 98739.563905; b = 3817532.213975; cout = 8068945301217.349609
a = 98740.996088; b = 3827396.724125; cout = 8078940026925.214844
a = 98742.428271; b = 3837261.234274; cout = 8089130107675.396484
a = 98743.860454; b = 3847125.744423; cout = 8099515543467.893555
a = 98745.292637; b = 3856990.254573; cout = 8110096334302.711914
a = 98746.724820; b = 3866854.764722; cout = 8120872480179.844727
a = 98748.157003; b = 3876719.274871; cout = 8131843981099.296875
a = 98749.589186; b = 3886583.785021; cout = 8143010837061.071289
a = 98751.021369; b = 3896448.295170; cout = 8154373048065.157227
a = 98752.453552; b = 3906312.805320; cout = 8165930614111.566406
a = 98753.885735; b = 3916177.315469; cout = 8177683535200.286133
a = 98755.317918; b = 3926041.825618; cout = 8189631811331.332031
a = 98756.750101; b = 3935906.335768; cout = 8201775442504.691406
a = 98758.182284; b = 3945770.845917; cout = 8214114428720.368164
a = 98759.614467; b = 3955635.356066; cout = 8226648769978.363281
a = 98761.046650; b = 3965499.866216; cout = 8239378466278.681641
a = 98762.478833; b = 3975364.376365; cout = 8252303517621.313477
a = 98763.911016; b = 3985228.886515; cout = 8265423924006.261719
a = 98765.343199; b = 3995093.396664; cout = 8278739685433.528320
a = 98766.775382; b = 4004957.906813; cout = 8292250801903.115234
a = 98768.207565; b = 4014822.416963; cout = 8305957273415.021484
a = 98769.639748; b = 4024686.927112; cout = 8319859099969.241211
a = 98771.071931; b = 4034551.437261; cout = 8333956281565.780273
a = 98772.504114; b = 4044415.947411; cout = 8348248818204.635742
a = 98773.936297; b = 4054280.457560; cout = 8362736709885.813477
a = 98775.368480; b = 4064144.967710; cout = 8377419956609.302734
a = 98776.800663; b = 4074009.477859; cout = 8392298558375.118164
a = 98778.232846; b = 4083873.988008; cout = 8407372515183.244141
a = 98779.665029; b = 4093738.498158; cout = 8422641827033.693359
a = 98781.097212; b = 4103603.008307; cout = 8438106493926.457031
a = 98782.529395; b = 4113467.518456; cout = 8453766515861.537109
a = 98783.961578; b = 4123332.028606; cout = 8469621892838.942383
a = 98785.393761; b = 4133196.538755; cout = 8485672624858.657227
a = 98786.825944; b = 4143061.048904; cout = 8501918711920.697266
a = 98788.258127; b = 4152925.559054; cout = 8518360154025.051758
a = 98789.690310; b = 4162790.069203; cout = 8534996951171.723633
a = 98791.122492; b = 4172654.579353; cout = 8551829103360.716797
a = 98792.554675; b = 4182519.089502; cout = 8568856610592.020508
a = 98793.986858; b = 4192383.599651; cout = 8586079472865.646484
a = 98795.419041; b = 4202248.109801; cout = 8603497690181.591797
a = 98796.851224; b = 4212112.619950; cout = 8621111262539.854492
a = 98798.283407; b = 4221977.130099; cout = 8638920189940.433594
a = 98799.715590; b = 4231841.640249; cout = 8656924472383.331055
a = 98801.147773; b = 4241706.150398; cout = 8675124109868.545898
a = 98802.579956; b = 4251570.660548; cout = 8693519102396.076172
a = 98804.012139; b = 4261435.170697; cout = 8712109449965.924805
a = 98805.444322; b = 4271299.680846; cout = 8730895152578.094727
a = 98806.876505; b = 4281164.190996; cout = 8749876210232.583008
a = 98808.308688; b = 4291028.701145; cout = 8769052622929.389648
a = 98809.740871; b = 4300893.211294; cout = 8788424390668.509766
a = 98811.173054; b = 4310757.721444; cout = 8807991513449.947266
a = 98812.605237; b = 4320622.231593; cout = 8827753991273.707031
a = 98814.037420; b = 4330486.741743; cout = 8847711824139.783203
a = 98815.469603; b = 4340351.251892; cout = 8867865012048.175781
a = 98816.901786; b = 4350215.762041; cout = 8888213554998.892578
a = 98818.333969; b = 4360080.272191; cout = 8908757452991.917969
a = 98819.766152; b = 4369944.782340; cout = 8929496706027.269531
a = 98821.198335; b = 4379809.292489; cout = 8950431314104.929688
a = 98822.630518; b = 4389673.802639; cout = 8971561277224.916016
a = 98824.062701; b = 4399538.312788; cout = 8992886595387.218750
a = 98825.494884; b = 4409402.822937; cout = 9014407268591.832031
a = 98826.927067; b = 4419267.333087; cout = 9036123296838.773438
a = 98828.359250; b = 4429131.843236; cout = 9058034680128.027344
a = 98829.791433; b = 4438996.353386; cout = 9080141418459.601562
a = 98831.223616; b = 4448860.863535; cout = 9102443511833.492188
a = 98832.655799; b = 4458725.373684; cout = 9124940960249.699219
a = 98834.087982; b = 4468589.883834; cout = 9147633763708.226562
a = 98835.520165; b = 4478454.393983; cout = 9170521922209.072266
a = 98836.952348; b = 4488318.904132; cout = 9193605435752.236328
a = 98838.384531; b = 4498183.414282; cout = 9216884304337.714844
a = 98839.816714; b = 4508047.924431; cout = 9240358527965.509766
a = 98841.248897; b = 4517912.434581; cout = 9264028106635.626953
a = 98842.681080; b = 4527776.944730; cout = 9287893040348.064453
a = 98844.113263; b = 4537641.454879; cout = 9311953329102.816406
a = 98845.545446; b = 4547505.965029; cout = 9336208972899.882812
a = 98846.977629; b = 4557370.475178; cout = 9360659971739.271484
a = 98848.409812; b = 4567234.985327; cout = 9385306325620.976562
a = 98849.841995; b = 4577099.495477; cout = 9410148034544.996094
a = 98851.274178; b = 4586964.005626; cout = 9435185098511.341797
a = 98852.706361; b = 4596828.515776; cout = 9460417517520.003906
a = 98854.138544; b = 4606693.025925; cout = 9485845291570.980469
a = 98855.570727; b = 4616557.536074; cout = 9511468420664.277344
a = 98857.002910; b = 4626422.046224; cout = 9537286904799.886719
a = 98858.435093; b = 4636286.556373; cout = 9563300743977.816406
a = 98859.867276; b = 4646151.066522; cout = 9589509938198.062500
a = 98861.299458; b = 4656015.576672; cout = 9615914487460.632812
a = 98862.731641; b = 4665880.086821; cout = 9642514391765.519531
a = 108345.704953; b = 1844631.616284; cout = 9646275040430.878906
a = 108347.137136; b = 1854496.126433; cout = 9620035220380.066406
a = 108348.569319; b = 1864360.636583; cout = 9593990755371.570312
a = 108350.001502; b = 1874225.146732; cout = 9568141645405.392578
a = 108351.433685; b = 1884089.656882; cout = 9542487890481.533203
a = 108352.865868; b = 1893954.167031; cout = 9517029490599.992188
a = 108354.298051; b = 1903818.677180; cout = 9491766445760.767578
a = 108355.730234; b = 1913683.187330; cout = 9466698755963.865234
a = 108357.162417; b = 1923547.697479; cout = 9441826421209.275391
a = 108358.594600; b = 1933412.207628; cout = 9417149441497.003906
a = 108360.026783; b = 1943276.717778; cout = 9392667816827.052734
a = 108361.458965; b = 1953141.227927; cout = 9368381547199.416016
a = 108362.891148; b = 1963005.738077; cout = 9344290632614.103516
a = 108364.323331; b = 1972870.248226; cout = 9320395073071.105469
a = 108365.755514; b = 1982734.758375; cout = 9296694868570.423828
a = 108367.187697; b = 1992599.268525; cout = 9273190019112.060547
a = 108368.619880; b = 2002463.778674; cout = 9249880524696.013672
a = 108370.052063; b = 2012328.288823; cout = 9226766385322.291016
a = 108371.484246; b = 2022192.798973; cout = 9203847600990.878906
a = 108372.916429; b = 2032057.309122; cout = 9181124171701.789062
a = 108374.348612; b = 2041921.819272; cout = 9158596097455.013672
a = 108375.780795; b = 2051786.329421; cout = 9136263378250.560547
a = 108377.212978; b = 2061650.839570; cout = 9114126014088.423828
a = 108378.645161; b = 2071515.349720; cout = 9092184004968.603516
a = 108380.077344; b = 2081379.859869; cout = 9070437350891.101562
a = 108381.509527; b = 2091244.370018; cout = 9048886051855.917969
a = 108382.941710; b = 2101108.880168; cout = 9027530107863.054688
a = 108384.373893; b = 2110973.390317; cout = 9006369518912.505859
a = 108385.806076; b = 2120837.900466; cout = 8985404285004.277344
a = 108387.238259; b = 2130702.410616; cout = 8964634406138.361328
a = 108388.670442; b = 2140566.920765; cout = 8944059882314.769531
a = 108390.102625; b = 2150431.430915; cout = 8923680713533.488281
a = 108391.534808; b = 2160295.941064; cout = 8903496899794.533203
a = 108392.966991; b = 2170160.451213; cout = 8883508441097.894531
a = 108394.399174; b = 2180024.961363; cout = 8863715337443.570312
a = 108395.831357; b = 2189889.471512; cout = 8844117588831.564453
a = 108397.263540; b = 2199753.981661; cout = 8824715195261.878906
a = 108398.695723; b = 2209618.491811; cout = 8805508156734.509766
a = 108400.127906; b = 2219483.001960; cout = 8786496473249.457031
a = 108401.560089; b = 2229347.512110; cout = 8767680144806.723633
a = 108402.992272; b = 2239212.022259; cout = 8749059171406.310547
a = 108404.424455; b = 2249076.532408; cout = 8730633553048.212891
a = 108405.856638; b = 2258941.042558; cout = 8712403289732.428711
a = 108407.288821; b = 2268805.552707; cout = 8694368381458.968750
a = 108408.721004; b = 2278670.062856; cout = 8676528828227.825195
a = 108410.153187; b = 2288534.573006; cout = 8658884630039.000977
a = 108411.585370; b = 2298399.083155; cout = 8641435786892.493164
a = 108413.017553; b = 2308263.593305; cout = 8624182298788.305664
a = 108414.449736; b = 2318128.103454; cout = 8607124165726.433594
a = 108415.881919; b = 2327992.613603; cout = 8590261387706.875977
a = 108417.314102; b = 2337857.123753; cout = 8573593964729.643555
a = 108418.746285; b = 2347721.633902; cout = 8557121896794.724609
a = 108420.178468; b = 2357586.144051; cout = 8540845183902.124023
a = 108421.610651; b = 2367450.654201; cout = 8524763826051.844727
a = 108423.042834; b = 2377315.164350; cout = 8508877823243.876953
a = 108424.475017; b = 2387179.674499; cout = 8493187175478.230469
a = 108425.907200; b = 2397044.184649; cout = 8477691882754.903320
a = 108427.339383; b = 2406908.694798; cout = 8462391945073.892578
a = 108428.771566; b = 2416773.204948; cout = 8447287362435.200195
a = 108430.203749; b = 2426637.715097; cout = 8432378134838.825195
a = 108431.635931; b = 2436502.225246; cout = 8417664262284.768555
a = 108433.068114; b = 2446366.735396; cout = 8403145744773.029297
a = 108434.500297; b = 2456231.245545; cout = 8388822582303.606445
a = 108435.932480; b = 2466095.755694; cout = 8374694774876.505859
a = 108437.364663; b = 2475960.265844; cout = 8360762322491.715820
a = 108438.796846; b = 2485824.775993; cout = 8347025225149.254883
a = 108440.229029; b = 2495689.286143; cout = 8333483482849.104492
a = 108441.661212; b = 2505553.796292; cout = 8320137095591.272461
a = 108443.093395; b = 2515418.306441; cout = 8306986063375.759766
a = 108444.525578; b = 2525282.816591; cout = 8294030386202.561523
a = 108445.957761; b = 2535147.326740; cout = 8281270064071.686523
a = 108447.389944; b = 2545011.836889; cout = 8268705096983.124023
a = 108448.822127; b = 2554876.347039; cout = 8256335484936.886719
a = 108450.254310; b = 2564740.857188; cout = 8244161227932.959961
a = 108451.686493; b = 2574605.367338; cout = 8232182325971.353516
a = 108453.118676; b = 2584469.877487; cout = 8220398779052.065430
a = 108454.550859; b = 2594334.387636; cout = 8208810587175.092773
a = 108455.983042; b = 2604198.897786; cout = 8197417750340.443359
a = 108457.415225; b = 2614063.407935; cout = 8186220268548.107422
a = 108458.847408; b = 2623927.918084; cout = 8175218141798.093750
a = 108460.279591; b = 2633792.428234; cout = 8164411370090.397461
a = 108461.711774; b = 2643656.938383; cout = 8153799953425.013672
a = 108463.143957; b = 2653521.448532; cout = 8143383891801.951172
a = 108464.576140; b = 2663385.958682; cout = 8133163185221.206055
a = 108466.008323; b = 2673250.468831; cout = 8123137833682.778320
a = 108467.440506; b = 2683114.978981; cout = 8113307837186.669922
a = 108468.872689; b = 2692979.489130; cout = 8103673195732.878906
a = 108470.304872; b = 2702843.999279; cout = 8094233909321.406250
a = 108471.737055; b = 2712708.509429; cout = 8084989977952.250977
a = 108473.169238; b = 2722573.019578; cout = 8075941401625.413086
a = 108474.601421; b = 2732437.529727; cout = 8067088180340.894531
a = 108476.033604; b = 2742302.039877; cout = 8058430314098.694336
a = 108477.465787; b = 2752166.550026; cout = 8049967802898.808594
a = 108478.897970; b = 2762031.060176; cout = 8041700646741.244141
a = 108480.330153; b = 2771895.570325; cout = 8033628845625.997070
a = 108481.762336; b = 2781760.080474; cout = 8025752399553.066406
a = 108483.194519; b = 2791624.590624; cout = 8018071308522.455078
a = 108484.626702; b = 2801489.100773; cout = 8010585572534.162109
a = 108486.058885; b = 2811353.610922; cout = 8003295191588.186523
a = 108487.491068; b = 2821218.121072; cout = 7996200165684.528320
a = 108488.923251; b = 2831082.631221; cout = 7989300494823.187500
